Task ID,Area,Task,Description,Status,Start Date,End Date,Evidence,Assigned To,Notes
T-17,Flow 6,Local folder upload,"Browser picks a folder, finds every .sql under it (capped at 300 files / 6 MB), only SQL text crosses the wire",Done,2026-07-29,2026-07-29,fe2fef0 Feature: added folder upload,,
T-18,Flow 6,SQL file parser with byte spans,"Statement splitter that skips ; in strings/comments, breaks on GO, keeps PROCEDURE/FUNCTION/VIEW bodies whole",Done,2026-07-29,2026-07-29,server/src/services/sqlFileParser.ts,,Spans are what allow splice-back into the original file
T-19,Flow 6,Local project model,"localProject.ts builds LineageFacts and the lineage graph from SQL alone, with a tableIndex derived from the SQL",Done,2026-07-29,2026-07-29,server/src/services/localProject.ts,,
T-20,Flow 6,SSDT / T-SQL support,"Temp-table lineage redrawn onto real tables; unqualified targets given their folder's schema",Done,2026-07-29,2026-07-29,localProject.ts (resolveTempTableSources),,Uploaded folders are as often SSDT as Databricks-shaped
T-21,Flow 6,Column extraction primitive,"sqlColumns.ts - columns from CREATE TABLE DDL or the building select list, following SELECT * back through CTEs",Done,2026-07-29,2026-07-29,server/src/services/sqlColumns.ts,,Hand-written scanner - node-sql-parser rejects real SSDT DDL
T-22,Flow 6,Derived reconciliation scripts,"Per-table checks: row counts, measure totals, label value sets, missing/orphan keys, duplicate and null keys",Done,2026-07-29,2026-07-29,9065f50 Added reconciliation scripts; reconciliationScripts.ts,,No LLM involved - columns are known exactly
T-23,Flow 6,columnRole classification,"Single place a column's kind of check is decided (measure / label / key / timestamp); head noun decides, type breaks ties",Done,2026-07-29,2026-07-29,reconciliationScripts.ts,,Prevents SUM over a label
T-24,Flow 6,Reconciliation bundle,"Whole hop folded into one runnable query returning one status row per check; unfoldable checks go to the appendix",Done,2026-07-29,2026-07-29,server/src/services/reconciliationBundle.ts,,
T-25,Flow 6,Join key inference and WHERE quoting,"Key on declared PRIMARY KEY or shared _key/_id columns (flagged inferred); quote the transform's WHERE as expected difference",Done,2026-07-29,2026-07-29,reconciliationScripts.ts; whereClauseAnalyzer.ts,,Duplicate-key check disproves the inferred guess
T-26,Flow 6,Script generation fixes,"Corrections to generated script output",Done,2026-07-29,2026-07-29,ddb611b Fix: fixed script generation,,
T-27,Flow 6,Test scripts,"Test coverage added around the reconciliation script generation",Done,2026-07-29,2026-07-29,d539d0e Status: test scripts,,
T-28,Cleanup,Remove data-quality experiment,"Dropped the unused data-quality backend and frontend files",Done,2026-07-29,2026-07-29,f7e647c / 65f9241 / 13091c0,,
T-29,CLI,reconcile CLI,"Flow 6 straight off disk - no browser, no server. reconcile scripts / layers with --split and --no-ai",Done,2026-07-29,2026-07-29,f602ab3 feat: Created Reconcile CLI with lineage,,
T-30,CLI,Lineage approval and replay,"lineage/lineage.json records corrections; applyApprovedLineage replays them onto a fresh scan",Done,2026-07-29,2026-07-29,cli/documentArtifacts.ts; lineageOverrides.ts,,
T-31,Flow 7,reconcile document command,"Turn the folder into a handed-over document: gather facts, ask the model what each layer/hop is for, build a DocDocument",Done,2026-07-30,2026-07-30,6b22f6e Feature: documentation via cli,,--no-ai yields the same document minus prose
T-32,Flow 7,Format-independent doc model,"docModel.ts blocks name styles not formatting; renderMarkdown as the second renderer",Done,2026-07-30,2026-07-30,server/src/services/docModel.ts,,
T-33,Flow 7,Branded DOCX writer,"Take the template apart with fflate, replace only word/document.xml body, put every other part back byte for byte",Done,2026-07-30,2026-07-30,server/src/services/docxWriter.ts,,Cover page, headers, footers and theme kept verbatim
T-34,Flow 7,Template resolution,"Bundled template inside the package; --template / RECON_DOC_TEMPLATE / project copy / bundled, in that order",Done,2026-07-30,2026-07-30,server/templates/Document Title.docx,,
T-35,CLI,reconcile run,"Layers, lineage, scripts then document in one pass, asking about the document once the scripts are written",Done,2026-07-30,2026-07-30,cli/reconcile.ts,,--document / --no-document answer in advance
T-36,Diagrams,PPTX lineage deck,"Render the lineage graph as native PowerPoint shapes",Done,2026-07-30,2026-07-30,7abaf38 feat: Added ppt creation; pptxWriter.ts,,
T-37,Diagrams,DAG layout engine,"dagLayout.ts positions nodes for the lineage diagram",Done,2026-07-30,2026-07-30,server/src/services/dagLayout.ts,,
T-38,Diagrams,Edge rendering fixes,"Smooth curves on lineage edges; repeated fixes so edges render without overlapping",Done,2026-07-30,2026-07-30,02fdd36 / 54dbbe5 / 2f35938,,Took three passes - worth a regression check on dense graphs
T-39,Docs,Project documentation,"Full written documentation of Recon in docx + md, plus the buildProjectDoc script that generates it",Done,2026-07-31,2026-08-04,bbc93c8 Documentation changes; b77ab1a Created documentation,,docs/recon-project-documentation.{docx,md}
T-40,Docs,CLAUDE.md guidance,"Architecture, flows and change-invariants written up for contributors and agents",Done,2026-07-27,2026-08-04,CLAUDE.md,,
T-41,Repo hygiene,Clean up stray Word lock file,"Delete the tracked ~$con-project-documentation.docx lock artifact and ignore the pattern",In Progress,2026-08-05,,git status - file deleted but not committed,,Currently the only uncommitted change on feat/reconcil-cli
T-42,Repo hygiene,Merge feat/reconcil-cli to main,"Land the CLI, documentation and diagram work on the main branch",In Progress,2026-08-05,,Current branch feat/reconcil-cli,,
T-43,Diagrams,Diagram output polish,"Ongoing refinement of the generated lineage deck - label placement, node sizing, readability on large projects",In Progress,2026-07-30,,cli/diagramArtifacts.ts; diagramComponents.ts,,Follows on from T-38
T-44,Testing,Test coverage across services,"Extend vitest coverage beyond sqlAnalyzer/scripts to sqlColumns, reconciliationBundle, sqlFileParser, docxWriter",Planned,,,server/test/,,Proposed - confirm scope
T-45,Flow 6,Broaden dialect and DDL coverage,"Handle further SSDT / Databricks syntax the scanner and fallback parsers still miss",Planned,,,sqlColumns.ts; sqlAnalyzer.ts,,Proposed - driven by real project folders
T-46,Reconciliation,Additional derived checks,"New check types added to both the scripts and the bundle (never one without the other)",Planned,,,reconciliationScripts.ts + reconciliationBundle.ts,,Proposed - per the CLAUDE.md invariant
T-47,Platform,Persistence decision,"Decide whether server state should survive restart and support more than one session",Planned,,,store/memoryStore.ts,,Explicitly flagged as a tradeoff to discuss before implementing
T-48,Frontend,Surface flows 1-4 in the UI,"Routes remain mounted and functional but are no longer reachable from the wizard - decide keep, surface or retire",Planned,,,routes/notebooks.ts; bronzeSilver.ts; lineage.ts; validateLogic.ts,,Proposed - product decision
T-49,Platform,Shared types package,"Replace the hand-mirrored server/client type contract with a shared or generated package",Planned,,,types/index.ts and client/src/types.ts,,Proposed - removes a recurring drift risk
T-50,Release,Package and distribute the CLI,"Publish the reconcile bin so it installs outside this repo, with install/run instructions",Planned,,,server/package.json bin + files,,Proposed - confirm target registry
T-51,Ops,CI pipeline,"Run typecheck, vitest and lint on push so the non-interactive CLI path stays green",Planned,,,-,,Proposed
